id,first_name,last_name,hire_date,wage
599,Amabelle,Drinnan,05/26/2021,16.8
600,Roley,Rosenbarg,06/11/2020,15.64
601,Noreen,Hayward,11/09/2020,14.21
602,Kelvin,Yansons,01/14/2020,45.43
603,Gare,Clemmen,06/23/2023,34.3
604,Link,Michel,06/27/2023,48.79
605,Tiffany,Lipprose,02/18/2021,19.63
606,Avictor,Osselton,06/02/2021,53.43
607,Roch,Simms,10/08/2020,41.08
608,Drona,Rizzardi,02/01/2022,50.15
609,Lauretta,Steadman,06/24/2021,40.68
610,Marena,Peachment,02/25/2021,43.89
611,Zolly,Winthrop,06/04/2020,43.11
612,Gran,Raiker,09/17/2020,52.87
613,Itch,Laux,05/26/2020,39.79
614,Leese,McGarahan,08/11/2021,58.31
615,Sandra,Mertin,04/17/2020,12.63
616,Spike,Leaver,04/20/2023,57.15
617,Brock,Grose,11/27/2020,19.91
618,Madeleine,Loach,11/25/2019,32.5
619,Vivie,Kirkbright,08/12/2019,49.83
620,Kristy,Finker,07/06/2019,53.18
621,Nils,Gullick,02/16/2020,39.22
622,Rhonda,Yvon,02/03/2020,36.56
623,Maxi,Birdsey,02/27/2022,49.86
624,Salem,Kemmey,03/29/2022,36.92
625,Wylma,McNutt,12/17/2022,27.72
626,Son,Grzelczyk,11/14/2022,43.81
627,Gennie,Bredee,11/20/2019,55.33
628,Germain,Lintott,01/06/2021,16.16
629,Christy,Mertgen,05/29/2021,49.84
630,Andy,Spritt,10/09/2022,13.8
631,Viva,Dorkin,10/26/2022,16.16
632,Alvera,Bradwell,11/24/2020,16.46
633,Bevin,Cantopher,05/20/2021,32.14
634,Kelley,Lorenzetti,02/22/2020,18.61
635,Kristos,Sivills,06/24/2020,36.73
636,Adamo,Latham,11/25/2022,36.56
637,Dermot,Collens,05/26/2021,25.63
638,Jorrie,De Ferrari,05/05/2022,59.82
639,Danyelle,Peschmann,06/25/2023,44.51
640,Cissiee,Semper,10/24/2022,52.22
641,Caria,Drewitt,01/17/2022,57.23
642,Jackie,Norcross,01/08/2023,45.25
643,Jeannie,Manicomb,10/20/2021,43.58
644,Abigael,Pim,02/11/2020,18.28
645,Doreen,Stiffkins,09/26/2020,19.79
646,Daven,Browncey,11/02/2019,36.9
647,Anny,Hatliff,08/08/2020,44.13
648,Leeanne,Farries,07/27/2019,51.74
649,Winston,Hesbrook,05/23/2022,48.88
650,Marsh,Harmon,12/11/2019,24.76
651,Shirleen,Runham,08/25/2019,32.47
652,Dorrie,Crusham,10/28/2019,18.79
653,Rozella,Lubbock,01/12/2021,48.33
654,Aurelea,Spillard,07/08/2021,47.41
655,Jeramie,Kocher,04/23/2023,31.06
656,Desmond,Hazley,06/08/2022,15.08
657,Faustine,Luckey,12/06/2020,18.41
658,Zachery,Lyddiatt,01/24/2021,14.35
659,Bertie,Perkis,07/26/2021,29.09
660,Karee,Koch,12/29/2019,26.3
661,Julian,Coenraets,11/09/2022,46.4
662,Ardelia,De Biasio,04/30/2020,39.85
663,Hurleigh,Mulhall,07/06/2021,48.69
664,Konstantin,Hurlston,02/17/2022,31.88
665,Kristofer,Maker,09/09/2019,37.75
666,Clarisse,Peabody,02/28/2023,49.39
667,Pauli,Ramel,03/06/2020,12.72
668,Berri,Kuhndel,07/08/2021,48.85
669,Catha,Yakobovicz,01/09/2023,43.58
670,Bryn,Grattan,01/16/2021,44.79
671,Shurwood,Millier,05/27/2020,42.63
672,Sunny,Stickels,12/09/2022,23.41
673,Darbee,Smallshaw,05/20/2022,55.55
674,Terrie,Mateo,04/13/2023,59.52
675,Flemming,Simo,05/28/2021,59.43
676,Waite,Stennings,12/13/2022,29.54
677,Jermain,Budgeon,10/15/2019,12.29
678,Goldy,Edgecombe,03/01/2022,21.88
679,Ophelia,Bulbeck,07/26/2022,59.47
680,Gunner,Dupoy,09/13/2020,52.56
681,Edin,Fippe,02/27/2023,29.78
682,Maude,Redwall,07/12/2021,22.62
683,Darcie,Silkstone,09/12/2022,47.56
684,Farrel,Bavin,12/19/2020,27.46
685,Holden,Dellenbach,11/02/2021,18.96
686,Lyell,Lambell,04/06/2020,55.82
687,Rosalie,Downham,01/23/2022,18.09
688,Daune,Gallatly,01/16/2023,26.89
689,Marianne,Caldwall,12/22/2022,13.55
690,Garvy,Waything,03/18/2020,52.95
691,Hamilton,Camili,04/11/2022,29.2
692,Carney,Vannoni,05/04/2021,22.33
693,Adolphus,Rossey,10/28/2020,27.67
694,Garner,Joss,04/29/2022,21.12
695,Trudy,Batchellor,12/29/2021,15.69
696,Ashli,Coulthard,05/31/2023,54.61
697,Patricio,Lachaize,11/11/2022,49.2
698,Sisile,Hugk,11/04/2022,37.68
699,Loreen,Bottby,12/21/2021,51.4
700,Evyn,Jaulmes,12/07/2019,20.37
701,Abelard,Wooddisse,06/09/2021,12.68
702,Martin,Haworth,06/08/2021,44.97
703,Brien,Simonetti,08/30/2019,43.96
704,Ansley,Ruffles,01/10/2022,50.52
705,Jerrilyn,Hartropp,03/10/2022,40.6
706,Farrah,Castellucci,04/09/2023,39.3
707,Reidar,Yaknov,01/31/2021,43.59
708,Flora,Mustarde,11/19/2019,29.34
709,Debby,Inglish,11/01/2022,14.03
710,Josh,Barrar,01/25/2022,58.89
711,Emmi,Goshawk,01/30/2021,49.76
712,Vale,Paynter,11/02/2022,30.69
713,Johannes,Bragger,12/14/2019,38.49
714,Pavia,Harpham,10/13/2020,45.19
715,Cale,Shuttlewood,12/26/2020,35.97
716,Muire,Hunnybun,02/08/2022,20.62
717,Gisella,Beardwell,12/11/2019,32.22
718,Eugine,Lanchberry,11/25/2021,47.05
719,Johnath,Cuttler,01/17/2023,26.01
720,Pollyanna,Zum Felde,03/22/2021,50.29
721,Fields,Pullin,07/19/2020,39.84
722,Viola,Reame,04/19/2020,34.86
723,Daile,Kirsz,08/04/2021,13.1
724,Homer,Cabbell,10/15/2022,52.35
725,Agnella,Element,06/23/2023,16.04
726,Templeton,Whate,02/28/2021,42.74
727,Katherina,Singyard,12/13/2021,37.61
728,Chester,Cadwaladr,05/11/2022,47.2
729,Alessandro,Perrin,10/06/2020,47.15
730,Nikolai,Viste,09/13/2022,20.13
731,Christoph,O' Driscoll,12/27/2019,19.44
732,Lauree,Sutcliffe,01/12/2020,53.34
733,Emelita,Roan,05/11/2020,48.5
734,Elenore,Casiroli,11/23/2021,32.72
735,Boy,Scothern,12/01/2019,48.37
736,Sharai,Jansie,09/12/2021,21.83
737,Kayne,Sidgwick,11/21/2019,30.16
738,Angeline,Son,02/11/2021,38.34
739,Marcos,Childes,11/15/2019,49.27
740,Gasparo,Prout,04/26/2021,35.11
741,Guthrie,Maltster,06/26/2020,48.86
742,Hoyt,Ellery,02/19/2021,30.66
743,Ondrea,De Micoli,03/20/2020,14.5
744,Brenda,Forgan,09/26/2021,17.67
745,Fernande,Leatherbarrow,03/31/2020,50.3
746,Wilone,Bedle,03/12/2022,35.29
747,Rollins,Lovick,01/27/2022,25.38
748,Libbie,Moulson,07/22/2022,51.56
749,Amara,Ong,09/12/2021,30.22
750,Zachariah,Villa,10/15/2022,46.36
751,Doug,Plowell,05/20/2021,46.06
752,Phelia,Daverin,01/14/2023,32.78
753,Arron,Dampier,07/10/2020,59.0
754,Kailey,Jurgen,01/16/2023,57.89
755,Arty,Matten,06/27/2022,58.46
756,Wright,Estrella,06/27/2021,26.62
757,Pietro,Quimby,04/18/2021,33.78
758,Violet,Savery,03/08/2023,43.41
759,Barbie,Sterman,10/07/2020,30.0
760,Aldwin,Gianotti,10/05/2019,18.03
761,Nicoli,Penvarne,06/15/2022,39.67
762,Lura,Slimming,08/27/2020,55.76
763,Marilyn,Schleswig-Holstein,04/14/2023,58.08
764,Egor,Ounsworth,02/13/2021,21.5
765,Debor,Bauer,03/19/2020,43.78
766,Vern,Tofanelli,08/26/2022,54.26
767,Matthias,Beckford,10/15/2019,59.09
768,Ann-marie,McPhate,12/21/2022,58.21
769,Ray,Jedrzejkiewicz,08/02/2020,56.59
770,Annora,Fettis,04/04/2021,14.0
771,Teddi,Bysh,02/06/2023,23.39
772,Uriel,Meadley,04/08/2020,40.09
773,Deny,Burburough,05/07/2023,23.22
774,Sarena,Whatford,06/17/2021,34.61
775,Dana,Snoxall,10/11/2021,33.76
776,Yelena,Carse,03/08/2021,40.54
777,Analise,Gruby,07/30/2019,40.61
778,Gwyn,Ayer,01/16/2022,42.56
779,Hazel,Lensch,12/26/2021,44.17
780,Charil,Morison,07/08/2019,28.02
781,Errol,Croxall,04/22/2021,36.73
782,Eulalie,Scallon,12/01/2019,54.58
783,Earlie,Zecchi,09/05/2019,28.99
784,Tonie,Whelan,05/14/2023,56.92
785,Lenette,Standage,12/05/2021,28.9
786,Livvyy,Northill,01/05/2023,35.54
787,Cybill,Rumsey,09/24/2020,26.55
788,Lura,Bladder,09/16/2020,40.58
789,Brose,Hacquoil,12/20/2021,27.85
790,Gabi,Moulsdall,10/09/2019,56.34
791,Fernando,Sharma,06/16/2023,57.07
792,Ashley,Rodie,02/11/2020,43.2
793,Isidor,Jedrzejewski,06/13/2021,29.94
794,Ardeen,Argrave,09/12/2019,26.81
795,Cornelia,Speare,06/27/2022,21.52
796,Ainsley,Burless,01/02/2020,32.71
797,Liz,Stolze,12/15/2019,20.83
798,Wallace,Diglin,11/07/2022,56.86
799,Denver,Lilbourne,01/04/2022,47.99
800,Eugene,Pitman,09/11/2020,29.32
801,Allys,Quartermaine,03/07/2023,19.07
802,Siobhan,Ritter,01/30/2020,18.95
803,Serena,Poor,05/23/2020,22.1
804,Gilberta,Dautry,08/22/2022,13.97
805,Kellina,Davidek,12/02/2021,27.42
806,Keri,Heinritz,01/13/2020,21.28
807,Clari,Charlick,11/17/2019,30.17
808,Stesha,Fair,09/30/2021,40.49
809,Estella,Escalera,05/04/2021,52.83
810,Timotheus,Kennelly,05/14/2021,51.87
811,Terrel,Joplin,10/31/2021,19.0
812,Seymour,MacDonough,11/13/2022,18.22
813,Cherri,Pottery,06/02/2020,24.77
814,Hilliard,Reany,07/10/2020,21.84
815,Daune,Pimm,10/09/2022,39.2
816,Niels,Ashelford,04/25/2020,19.15
817,Karlik,Bonett,03/23/2022,48.41
818,Hayyim,Sonley,03/15/2020,30.18
819,Eugenius,Clougher,09/19/2021,58.04
820,Sergei,Rossant,07/19/2021,37.29
821,Clovis,Cutler,03/03/2020,19.63
822,Dulcinea,Boorne,11/12/2021,17.99
823,Dido,Alker,02/01/2020,24.68
824,Cami,Raitt,02/20/2021,17.24
825,Teressa,Dedon,01/30/2020,30.59
826,Lorenza,Walstow,11/19/2019,38.31
827,Miran,Faudrie,05/24/2023,40.48
828,Meryl,McDonell,01/01/2022,56.79
829,Marti,Kalb,04/11/2020,56.46
830,Marietta,Oglethorpe,12/04/2022,48.51
831,Celene,Woolhouse,06/25/2023,58.48
832,Devin,McGougan,07/29/2022,54.85
833,Carlota,Bending,10/18/2020,45.58
834,Ellwood,Domokos,02/20/2023,43.9
835,Jarred,Stangroom,03/18/2022,52.48
836,Isabelita,Lavelle,03/20/2021,53.39
837,Ramsey,Jeppe,06/29/2022,57.17
838,Gabi,Randall,03/08/2020,40.35
839,Carolus,Mansel,03/29/2021,24.51
840,Clemente,Frowen,12/11/2020,50.95
841,Annadiane,Songust,09/20/2022,47.83
842,Raeann,Gentry,07/01/2021,49.19
843,Egor,Morais,10/20/2020,49.03
844,Sinclair,Entreis,08/04/2022,42.01
845,Marybeth,Castiglio,03/02/2020,30.56
846,Clarice,Aickin,09/15/2022,59.99
847,Lynette,Jurries,08/04/2021,59.65
848,Tomlin,Kennady,06/28/2023,48.98
849,Valentina,Kringe,05/20/2022,42.37
850,Adoree,Simco,03/24/2022,26.92
851,Erasmus,Bilby,08/02/2021,52.71
852,Sanford,Duffill,12/06/2020,39.39
853,Ondrea,Neary,10/31/2020,38.04
854,Alfreda,De Rye Barrett,06/18/2020,32.26
855,Tabitha,Popplewell,03/14/2020,41.46
856,Karilynn,Trillo,02/23/2020,42.29
857,Kassey,Burchess,04/14/2020,23.23
858,Fancie,Geharke,02/05/2021,18.72
859,Paulo,Bettesworth,01/22/2020,47.7
860,Brooke,Sleeny,07/28/2019,51.03
861,Beniamino,Hendrikse,02/27/2023,56.65
862,Lindie,Brito,08/04/2020,24.95
863,Silvester,Brecken,09/10/2022,13.03
864,Leila,Cearley,04/18/2022,55.96
865,Morton,Quiddihy,02/17/2021,46.03
866,Geordie,Shawyers,04/13/2021,17.4
867,Buddy,Skyrm,04/15/2023,24.69
868,Dorree,Radleigh,11/17/2022,50.51
869,Verge,O'Gavin,05/09/2020,47.14
870,Christophorus,Dimbylow,07/15/2019,40.18
871,Ketti,Plampeyn,03/26/2021,16.37
872,Hal,Criag,10/24/2021,39.84
873,Gun,Keenan,03/25/2023,27.5
874,Wadsworth,Maving,11/15/2021,20.53
875,Tobe,Huntress,09/27/2021,40.47
876,Kate,Wafer,06/02/2020,32.18
877,Gregoire,Yoseloff,07/03/2020,57.26
878,Miranda,Dicky,01/01/2023,53.98
879,Cindelyn,Huzzey,12/06/2022,16.54
880,Gareth,Burgett,04/06/2023,34.19
881,Sauncho,Scud,12/20/2019,17.7
882,Kenton,Blaver,04/23/2020,13.64
883,Morten,Porch,08/12/2019,39.3
884,Gregory,Rait,09/26/2019,58.44
885,Abe,Bassam,11/18/2021,17.21
886,Bettine,Poyntz,03/06/2023,53.72
887,Laurie,Bangley,08/01/2020,48.31
888,Bridget,Castelli,02/02/2020,37.18
889,Madelyn,Wieprecht,09/20/2022,26.67
890,Vale,Aires,12/17/2021,32.75
891,Elysia,Rostern,05/13/2021,56.46
892,Delila,O' Faherty,01/08/2023,26.5
893,Rhodie,Coppock.,05/19/2021,37.27
894,Gregorius,Aumerle,08/03/2020,24.91
895,Mira,Puden,07/23/2020,55.87
896,Toiboid,Adamec,03/01/2023,21.97
897,Evangeline,Griniov,10/03/2019,19.69
898,Paton,Howse,10/17/2022,25.87
899,Bidget,Hartell,05/26/2023,23.68
900,Kory,Whymark,03/02/2023,52.09
901,Hank,Bolzen,02/12/2022,54.8
902,Son,Medlen,02/28/2021,12.75
903,Dieter,Sheward,07/01/2022,50.61
904,Carmelia,McDuffy,11/24/2020,57.84
905,Paula,Stansall,01/09/2023,14.59
906,Deanne,Triggol,12/27/2022,19.58
907,Terrel,Fansy,05/03/2023,35.73
908,Tabina,Lubman,09/27/2020,13.36
909,Orlan,Ciementini,12/09/2021,21.86
910,Vida,Herculeson,03/09/2023,26.6
911,Tonie,Wharf,09/21/2022,24.35
912,Currey,Cockshutt,12/27/2019,24.88
913,Ally,Strut,12/22/2021,19.71
914,Kary,Pernell,12/19/2021,50.73
915,Kermit,Halpen,08/23/2022,58.0
916,Shaw,Winnister,01/07/2020,56.31
917,Osmund,Cothey,07/31/2022,43.65
918,Sarina,Mechell,10/04/2019,42.49
919,Wilow,Emons,04/27/2021,50.45
920,Joice,Bowell,01/22/2023,43.39
921,Kaylee,Spadoni,10/09/2020,55.23
922,Tirrell,Twydell,09/17/2022,59.71
923,Elita,Rillatt,04/02/2021,52.75
924,Janith,Clitsome,01/22/2022,49.77
925,Zacherie,McNeilley,01/31/2020,23.91
926,Warde,Machan,12/12/2021,54.52
927,Karly,Mariet,08/27/2019,30.9
928,Caesar,Schoffel,12/12/2019,50.42
929,Dwayne,Scoggan,05/22/2022,40.33
930,Georgy,Tubb,07/31/2019,44.81
931,Ricki,Artharg,09/02/2020,17.44
932,Elene,Bertelmot,04/18/2021,47.82
933,Reiko,Hartfleet,06/06/2021,56.53
934,Wenda,Shepley,11/04/2019,52.82
935,Maurine,Mosby,04/29/2021,15.99
936,Fleurette,Seldner,12/06/2019,15.3
937,Lesley,Eustanch,05/31/2020,13.62
938,Kliment,Wisham,03/18/2023,54.34
939,Anneliese,Winmill,11/10/2019,44.25
940,Godwin,Gaukrodge,08/08/2022,29.76
941,Waldon,Vokes,08/05/2022,26.41
942,Marketa,Malek,10/23/2021,40.94
943,Carey,Beard,04/02/2021,15.17
944,Romeo,Sorro,01/31/2021,12.97
945,Clarie,Kloser,08/15/2020,19.91
946,Thekla,Akker,01/14/2023,44.87
947,Gleda,Tolley,08/02/2020,15.22
948,Meagan,Bikker,04/29/2023,45.59
949,Clem,Banbury,06/25/2020,19.19
950,Bartlett,Verey,01/23/2021,54.73
951,Blakelee,Schwandner,06/04/2022,21.8
952,Bride,Wrassell,11/02/2020,51.39
953,Analise,Hotson,01/30/2023,56.77
954,Maryjane,Grima,03/27/2023,36.16
955,Bernardina,Bennit,12/06/2019,43.23
956,Gusti,Peyzer,12/17/2019,19.81
957,Ola,Newbegin,03/20/2021,53.34
958,Ally,Tynemouth,08/23/2021,22.96
959,Jecho,Dachey,12/17/2019,22.39
960,Annabel,Critcher,10/24/2022,45.88
961,Madel,Headly,04/23/2021,34.65
962,Louis,Gritsaev,12/05/2022,32.25
963,Kelcy,McWaters,03/04/2023,16.35
964,Taylor,Mariyushkin,02/03/2022,40.31
965,Lurlene,Davson,04/26/2023,43.68
966,Bonny,Perham,04/04/2022,14.4
967,Steffie,Moncur,03/21/2023,12.17
968,Dennison,Bleddon,07/29/2022,47.23
969,Madelin,Iacovaccio,12/15/2020,49.45
970,Hubie,Wake,05/31/2021,13.08
971,Torre,Gerber,06/06/2020,50.67
972,Prentiss,Goadby,05/28/2023,28.82
973,Foss,Nutkin,12/17/2021,55.83
974,Shelden,Whinney,10/30/2019,41.49
975,Florentia,Toppas,02/20/2022,49.76
976,Louisa,MacRorie,08/14/2020,47.1
977,Marmaduke,Giraudoux,03/05/2022,46.57
978,Ruthie,Quant,10/27/2022,38.3
979,Elwin,Dimitrov,10/11/2022,31.23
980,Minetta,Corey,11/12/2022,47.86
981,Christyna,Cairney,07/13/2020,25.3
982,Tremayne,Zavattero,07/15/2022,30.64
983,Keene,McKinney,05/26/2021,36.0
984,Ruthe,Durant,08/24/2019,34.51
985,Vanna,Thurgood,02/18/2021,33.2
986,Ferguson,Faussett,06/25/2023,31.8
987,Ginger,Devote,12/03/2020,30.69
988,Christoph,Harrower,03/27/2023,33.36
989,Stacy,Doley,11/09/2021,24.03
990,Ronny,Spreag,08/01/2022,52.05
991,Tami,Rottger,03/20/2022,34.25
992,Tillie,Timothy,04/16/2022,36.92
993,Augustina,Karlowicz,08/26/2019,56.91
994,Cully,Blacksell,10/24/2020,37.98
995,Miriam,Meir,08/28/2021,37.7
996,Karry,Summergill,02/02/2020,41.17
997,Ashlen,Gawkes,05/11/2023,49.92
998,Any,Losty,11/22/2020,48.02
999,Amelia,Coie,07/11/2021,24.85
1000,Colette,O'Neil,12/18/2022,57.07
